Location,Indicator,Period,Dim1,First Tooltip
Cameroon,Concentrations of fine particulate matter (PM2.5),2016,Total,65.26 [43.03-113.4]
Cameroon,Concentrations of fine particulate matter (PM2.5),2016,Urban,65.36 [43.69-106.4]
Cameroon,Concentrations of fine particulate matter (PM2.5),2016,Rural,65.08 [40.28-114.8]
Canada,Concentrations of fine particulate matter (PM2.5),2016,Total,6.48 [6.31-6.71]
Canada,Concentrations of fine particulate matter (PM2.5),2016,Urban,6.72 [6.53-6.94]
Canada,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.31 [5.19-5.73]
Central African Republic,Concentrations of fine particulate matter (PM2.5),2016,Total,49.5 [24.96-120.6]
Central African Republic,Concentrations of fine particulate matter (PM2.5),2016,Urban,51.2 [21.3-130.4]
Central African Republic,Concentrations of fine particulate matter (PM2.5),2016,Rural,48.95 [26.26-120.9]
Chad,Concentrations of fine particulate matter (PM2.5),2016,Total,53.01 [23.25-132.4]
Chad,Concentrations of fine particulate matter (PM2.5),2016,Urban,50.76 [20.31-135.2]
Chad,Concentrations of fine particulate matter (PM2.5),2016,Rural,53.64 [23.6-134.7]
Chile,Concentrations of fine particulate matter (PM2.5),2016,Total,21.03 [19.46-22.03]
Chile,Concentrations of fine particulate matter (PM2.5),2016,Urban,23.1 [21.42-24.01]
Chile,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.79 [16.55-19.8]
China,Concentrations of fine particulate matter (PM2.5),2016,Total,49.16 [49.66-53.77]
China,Concentrations of fine particulate matter (PM2.5),2016,Urban,50.95 [51-55.34]
China,Concentrations of fine particulate matter (PM2.5),2016,Rural,35.74 [36.54-40.42]
Colombia,Concentrations of fine particulate matter (PM2.5),2016,Total,15.24 [11.62-23.37]
Colombia,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.17 [12.9-25.51]
Colombia,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.42 [10.22-21.99]
Comoros,Concentrations of fine particulate matter (PM2.5),2016,Total,18.6 [9.22-38.73]
Comoros,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.62 [9.28-38.79]
Comoros,Concentrations of fine particulate matter (PM2.5),2016,Rural,18.39 [8.92-38.36]
Congo,Concentrations of fine particulate matter (PM2.5),2016,Total,38.67 [18.16-94.74]
Congo,Concentrations of fine particulate matter (PM2.5),2016,Urban,36.36 [14.37-114.4]
Congo,Concentrations of fine particulate matter (PM2.5),2016,Rural,41.45 [20.06-95.05]
Cook Islands,Concentrations of fine particulate matter (PM2.5),2016,Total,12.03 [6.69-19.19]
Cook Islands,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.03 [6.69-19.19]
Costa Rica,Concentrations of fine particulate matter (PM2.5),2016,Total,15.85 [13.71-18.24]
Costa Rica,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.72 [14.66-18.97]
Costa Rica,Concentrations of fine particulate matter (PM2.5),2016,Rural,12.64 [10.57-15.9]
Côte d’Ivoire,Concentrations of fine particulate matter (PM2.5),2016,Total,23.72 [14.53-49.57]
Côte d’Ivoire,Concentrations of fine particulate matter (PM2.5),2016,Urban,23.9 [14.15-48.37]
Côte d’Ivoire,Concentrations of fine particulate matter (PM2.5),2016,Rural,23.5 [14.75-50.44]
Croatia,Concentrations of fine particulate matter (PM2.5),2016,Total,17.03 [15.81-18.82]
Croatia,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.61 [16.22-19.3]
Croatia,Concentrations of fine particulate matter (PM2.5),2016,Rural,15.8 [14.96-18.14]
Cuba,Concentrations of fine particulate matter (PM2.5),2016,Total,18.37 [12.71-28.58]
Cuba,Concentrations of fine particulate matter (PM2.5),2016,Urban,21.59 [14.87-30.91]
Cuba,Concentrations of fine particulate matter (PM2.5),2016,Rural,15.81 [10.1-27.68]
Cyprus,Concentrations of fine particulate matter (PM2.5),2016,Total,16.79 [15.24-19.37]
Cyprus,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.12 [15.91-19.38]
Cyprus,Concentrations of fine particulate matter (PM2.5),2016,Rural,15.87 [13.41-19.34]
Czechia,Concentrations of fine particulate matter (PM2.5),2016,Total,15.15 [15.59-16.45]
Czechia,Concentrations of fine particulate matter (PM2.5),2016,Urban,15.59 [16.18-17.04]
Czechia,Concentrations of fine particulate matter (PM2.5),2016,Rural,13.62 [13.34-14.52]
Democratic People's Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Total,30.4 [23.64-43.35]
Democratic People's Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Urban,30.97 [23.66-45.2]
Democratic People's Republic of Korea,Concentrations of fine particulate matter (PM2.5),2016,Rural,28.99 [23.27-39.68]
Democratic Republic of the Congo,Concentrations of fine particulate matter (PM2.5),2016,Total,37.62 [22.75-74.02]
Democratic Republic of the Congo,Concentrations of fine particulate matter (PM2.5),2016,Urban,37.4 [22.62-78.71]
Democratic Republic of the Congo,Concentrations of fine particulate matter (PM2.5),2016,Rural,37.76 [22.85-72.02]
Denmark,Concentrations of fine particulate matter (PM2.5),2016,Total,10.12 [9.27-11.3]
Denmark,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.34 [9.54-11.41]
Denmark,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.54 [8.35-11.1]
Djibouti,Concentrations of fine particulate matter (PM2.5),2016,Total,40.38 [16.09-111.5]
Djibouti,Concentrations of fine particulate matter (PM2.5),2016,Urban,40.97 [15.71-110.2]
Djibouti,Concentrations of fine particulate matter (PM2.5),2016,Rural,40.05 [17.15-109]
Dominica,Concentrations of fine particulate matter (PM2.5),2016,Total,18.17 [10.84-34.39]
Dominica,Concentrations of fine particulate matter (PM2.5),2016,Urban,18.79 [11.39-35.79]
Dominica,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.89 [9.9-32.03]
Dominican Republic,Concentrations of fine particulate matter (PM2.5),2016,Total,12.95 [6.38-26.69]
Dominican Republic,Concentrations of fine particulate matter (PM2.5),2016,Urban,13.31 [6.49-27.99]
Dominican Republic,Concentrations of fine particulate matter (PM2.5),2016,Rural,11.32 [5.77-22.06]
Ecuador,Concentrations of fine particulate matter (PM2.5),2016,Total,14.91 [12.2-19.23]
Ecuador,Concentrations of fine particulate matter (PM2.5),2016,Urban,15.54 [13.14-19.34]
Ecuador,Concentrations of fine particulate matter (PM2.5),2016,Rural,14.06 [10.92-19.12]
Egypt,Concentrations of fine particulate matter (PM2.5),2016,Total,79.28 [53.88-137.2]
Egypt,Concentrations of fine particulate matter (PM2.5),2016,Urban,79.65 [53.78-138.3]
Egypt,Concentrations of fine particulate matter (PM2.5),2016,Rural,69.4 [49.34-122.2]
El Salvador,Concentrations of fine particulate matter (PM2.5),2016,Total,23.42 [16.14-36.25]
El Salvador,Concentrations of fine particulate matter (PM2.5),2016,Urban,23.78 [16.35-36.92]
El Salvador,Concentrations of fine particulate matter (PM2.5),2016,Rural,20.68 [14.1-31.03]
Equatorial Guinea,Concentrations of fine particulate matter (PM2.5),2016,Total,45.9 [21.86-108]
Equatorial Guinea,Concentrations of fine particulate matter (PM2.5),2016,Urban,49.12 [22.86-123.5]
Equatorial Guinea,Concentrations of fine particulate matter (PM2.5),2016,Rural,45.54 [21.82-106.7]
Eritrea,Concentrations of fine particulate matter (PM2.5),2016,Total,42.4 [18.21-100.9]
Eritrea,Concentrations of fine particulate matter (PM2.5),2016,Urban,41.1 [16.52-97.37]
Eritrea,Concentrations of fine particulate matter (PM2.5),2016,Rural,42.94 [19.33-100.8]
Estonia,Concentrations of fine particulate matter (PM2.5),2016,Total,6.74 [6.1-7.65]
Estonia,Concentrations of fine particulate matter (PM2.5),2016,Urban,7 [6.29-7.86]
Estonia,Concentrations of fine particulate matter (PM2.5),2016,Rural,6.22 [5.42-7.38]
Eswatini,Concentrations of fine particulate matter (PM2.5),2016,Total,16.26 [10.32-25.61]
Eswatini,Concentrations of fine particulate matter (PM2.5),2016,Urban,16.16 [10.17-25.89]
Eswatini,Concentrations of fine particulate matter (PM2.5),2016,Rural,16.36 [10.4-25.42]
Ethiopia,Concentrations of fine particulate matter (PM2.5),2016,Total,34.36 [22.68-58.24]
Ethiopia,Concentrations of fine particulate matter (PM2.5),2016,Urban,33.97 [22.12-57.8]
Ethiopia,Concentrations of fine particulate matter (PM2.5),2016,Rural,34.91 [23.22-59]
Fiji,Concentrations of fine particulate matter (PM2.5),2016,Total,10.19 [4.67-22.1]
Fiji,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.49 [4.73-24.49]
Fiji,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.74 [4.65-19.43]
Finland,Concentrations of fine particulate matter (PM2.5),2016,Total,5.88 [5.52-6.23]
Finland,Concentrations of fine particulate matter (PM2.5),2016,Urban,6.52 [6.07-6.98]
Finland,Concentrations of fine particulate matter (PM2.5),2016,Rural,5.5 [5.04-5.88]
France,Concentrations of fine particulate matter (PM2.5),2016,Total,11.64 [11.67-12.12]
France,Concentrations of fine particulate matter (PM2.5),2016,Urban,12.37 [12.28-12.76]
France,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.94 [9.74-10.32]
Gabon,Concentrations of fine particulate matter (PM2.5),2016,Total,38.51 [19.88-85.08]
Gabon,Concentrations of fine particulate matter (PM2.5),2016,Urban,37.8 [16.73-85.26]
Gabon,Concentrations of fine particulate matter (PM2.5),2016,Rural,38.83 [20.4-91.32]
Gambia,Concentrations of fine particulate matter (PM2.5),2016,Total,32.2 [17.46-61.81]
Gambia,Concentrations of fine particulate matter (PM2.5),2016,Urban,32.32 [17.12-61.07]
Gambia,Concentrations of fine particulate matter (PM2.5),2016,Rural,31.71 [16.08-73.54]
Georgia,Concentrations of fine particulate matter (PM2.5),2016,Total,21.2 [16.61-29.15]
Georgia,Concentrations of fine particulate matter (PM2.5),2016,Urban,24.01 [18.39-32.05]
Georgia,Concentrations of fine particulate matter (PM2.5),2016,Rural,17.86 [13.3-25.31]
Germany,Concentrations of fine particulate matter (PM2.5),2016,Total,11.71 [11.74-12.2]
